AverageTemperature,City,Country,Month,Year
26.259,2,Mexico,10,1880
27.029,2,Mexico,11,1880
25.416,2,Mexico,12,1880
23.963,2,Mexico,1,1881
23.75,2,Mexico,2,1881
24.281,2,Mexico,3,1881
24.798,2,Mexico,4,1881
26.257,2,Mexico,5,1881
27.09,2,Mexico,6,1881
27.613,2,Mexico,7,1881
27.176,2,Mexico,8,1881
26.731,2,Mexico,9,1881
26.876,2,Mexico,10,1881
26.936,2,Mexico,11,1881
25.595,2,Mexico,12,1881
25.075,2,Mexico,1,1882
24.722,2,Mexico,2,1882
24.679,2,Mexico,3,1882
24.902,2,Mexico,4,1882
25.431,2,Mexico,5,1882
26.862,2,Mexico,6,1882
27.226,2,Mexico,7,1882
26.557,2,Mexico,8,1882
26.607,2,Mexico,9,1882
26.721,2,Mexico,10,1882
25.527,2,Mexico,11,1882
24.461,2,Mexico,12,1882
23.9,2,Mexico,1,1883
23.475,2,Mexico,2,1883
23.118,2,Mexico,3,1883
24.388,2,Mexico,4,1883
25.202,2,Mexico,5,1883
26.69,2,Mexico,6,1883
26.8,2,Mexico,7,1883
26.617,2,Mexico,8,1883
26.331,2,Mexico,9,1883
26.6,2,Mexico,10,1883
26.118,2,Mexico,11,1883
25.027,2,Mexico,12,1883
23.614,2,Mexico,1,1884
23.356,2,Mexico,2,1884
23.919,2,Mexico,3,1884
24.378,2,Mexico,4,1884
24.397,2,Mexico,5,1884
27.363,2,Mexico,6,1884
27.004,2,Mexico,7,1884
26.539,2,Mexico,8,1884
26.664,2,Mexico,9,1884
26.164,2,Mexico,10,1884
25.838,2,Mexico,11,1884
25.245,2,Mexico,12,1884
24.303,2,Mexico,1,1885
23.785,2,Mexico,2,1885
24.357,2,Mexico,3,1885
23.853,2,Mexico,4,1885
25.606,2,Mexico,5,1885
27.231,2,Mexico,6,1885
27.113,2,Mexico,7,1885
26.814,2,Mexico,8,1885
26.808,2,Mexico,9,1885
26.4,2,Mexico,10,1885
26.06,2,Mexico,11,1885
25.404,2,Mexico,12,1885
24.253,2,Mexico,1,1886
23.399,2,Mexico,2,1886
24.98,2,Mexico,3,1886
24.71,2,Mexico,4,1886
26.259,2,Mexico,5,1886
27.115,2,Mexico,6,1886
27.524,2,Mexico,7,1886
27.24,2,Mexico,8,1886
26.688,2,Mexico,9,1886
26.39,2,Mexico,10,1886
25.584,2,Mexico,11,1886
24.364,2,Mexico,12,1886
23.478,2,Mexico,1,1887
23.844,2,Mexico,2,1887
23.249,2,Mexico,3,1887
23.695,2,Mexico,4,1887
25.716,2,Mexico,5,1887
26.584,2,Mexico,6,1887
26.884,2,Mexico,7,1887
26.845,2,Mexico,8,1887
26.509,2,Mexico,9,1887
25.656,2,Mexico,10,1887
25.945,2,Mexico,11,1887
25.186,2,Mexico,12,1887
24.152,2,Mexico,1,1888
23.587,2,Mexico,2,1888
23.337,2,Mexico,3,1888
23.872,2,Mexico,4,1888
25.366,2,Mexico,5,1888
26.435,2,Mexico,6,1888
27.178,2,Mexico,7,1888
27.15,2,Mexico,8,1888
26.036,2,Mexico,9,1888
26.766,2,Mexico,10,1888
26.317,2,Mexico,11,1888
25.111,2,Mexico,12,1888
24.982,2,Mexico,1,1889
24.973,2,Mexico,2,1889
23.718,2,Mexico,3,1889
24.608,2,Mexico,4,1889
26.134,2,Mexico,5,1889
28.08,2,Mexico,6,1889
27.731,2,Mexico,7,1889
26.961,2,Mexico,8,1889
26.76,2,Mexico,9,1889
25.93,2,Mexico,10,1889
26.247,2,Mexico,11,1889
24.949,2,Mexico,12,1889
25.202,2,Mexico,1,1890
23.68,2,Mexico,2,1890
22.862,2,Mexico,3,1890
24.783,2,Mexico,4,1890
25.93,2,Mexico,5,1890
26.491,2,Mexico,6,1890
27.141,2,Mexico,7,1890
26.607,2,Mexico,8,1890
26.297,2,Mexico,9,1890
26.161,2,Mexico,10,1890
25.64,2,Mexico,11,1890
24.657,2,Mexico,12,1890
24.381,2,Mexico,1,1891
24.397,2,Mexico,2,1891
23.65,2,Mexico,3,1891
23.689,2,Mexico,4,1891
25.446,2,Mexico,5,1891
26.653,2,Mexico,6,1891
26.997,2,Mexico,7,1891
26.916,2,Mexico,8,1891
26.875,2,Mexico,9,1891
25.473,2,Mexico,10,1891
26.286,2,Mexico,11,1891
25.724,2,Mexico,12,1891
24.348,2,Mexico,1,1892
24.739,2,Mexico,2,1892
23.479,2,Mexico,3,1892
24.878,2,Mexico,4,1892
26.368,2,Mexico,5,1892
27.499,2,Mexico,6,1892
27.424,2,Mexico,7,1892
27.099,2,Mexico,8,1892
26.602,2,Mexico,9,1892
26.252,2,Mexico,10,1892
25.683,2,Mexico,11,1892
25.426,2,Mexico,12,1892
23.701,2,Mexico,1,1893
24.51,2,Mexico,2,1893
23.416,2,Mexico,3,1893
25.245,2,Mexico,4,1893
25.63,2,Mexico,5,1893
26.456,2,Mexico,6,1893
26.435,2,Mexico,7,1893
26.984,2,Mexico,8,1893
26.891,2,Mexico,9,1893
26.08,2,Mexico,10,1893
26.429,2,Mexico,11,1893
24.641,2,Mexico,12,1893
24.97,2,Mexico,1,1894
24.326,2,Mexico,2,1894
23.387,2,Mexico,3,1894
24.423,2,Mexico,4,1894
26.104,2,Mexico,5,1894
27.336,2,Mexico,6,1894
27.078,2,Mexico,7,1894
27.137,2,Mexico,8,1894
27.173,2,Mexico,9,1894
26.384,2,Mexico,10,1894
25.543,2,Mexico,11,1894
25.106,2,Mexico,12,1894
24.208,2,Mexico,1,1895
23.805,2,Mexico,2,1895
24.088,2,Mexico,3,1895
24.717,2,Mexico,4,1895
26.022,2,Mexico,5,1895
27.211,2,Mexico,6,1895
27.233,2,Mexico,7,1895
27.419,2,Mexico,8,1895
27.185,2,Mexico,9,1895
26.31,2,Mexico,10,1895
27.488,2,Mexico,11,1895
25.513,2,Mexico,12,1895
25.051,2,Mexico,1,1896
23.616,2,Mexico,2,1896
24.594,2,Mexico,3,1896
24.977,2,Mexico,4,1896
26.819,2,Mexico,5,1896
27.78,2,Mexico,6,1896
27.903,2,Mexico,7,1896
27.623,2,Mexico,8,1896
27.368,2,Mexico,9,1896
27.594,2,Mexico,10,1896
27.562,2,Mexico,11,1896
24.988,2,Mexico,12,1896
25.286,2,Mexico,1,1897
25.243,2,Mexico,2,1897
25.44,2,Mexico,3,1897
25.148,2,Mexico,4,1897
26.239,2,Mexico,5,1897
27.361,2,Mexico,6,1897
27.235,2,Mexico,7,1897
27.717,2,Mexico,8,1897
26.403,2,Mexico,9,1897
27.289,2,Mexico,10,1897
27.263,2,Mexico,11,1897
26.057,2,Mexico,12,1897
24.923,2,Mexico,1,1898
23.461,2,Mexico,2,1898
24.421,2,Mexico,3,1898
23.973,2,Mexico,4,1898
26.022,2,Mexico,5,1898
26.67,2,Mexico,6,1898
26.719,2,Mexico,7,1898
26.745,2,Mexico,8,1898
26.704,2,Mexico,9,1898
25.993,2,Mexico,10,1898
26.667,2,Mexico,11,1898
25.27,2,Mexico,12,1898
24.177,2,Mexico,1,1899
23.551,2,Mexico,2,1899
